strategy,window,feature_hash_count,primary_feature_hash,signal_hash_count,primary_signal_hash,notes
pa_buy_sell_close_trend,qqq_2024h1,1,facb93387b6460a7f79bfd08a23b71560539d284f5ca2f0e1b565cb224a15498,288,2acfdac6bd50f11c962f01cda907aba7fb6094cc1668e82787c4c044b2772cfc,hashes from Layer1 sweep rows
orb_continuation,qqq_2024h1,1,4a5d6d2ce421897a7fd17e65f71a29d4e0e882caf9d4f5c10773149d3c390056,2592,9257ad00b0eb71ffb17d2660d250e86b7e0fc355160a6cdcdc3637fe6f53e42a,hashes from Layer1 sweep rows
orb_retest_continuation,qqq_2024h1,0,not_run,0,not_run,blocked_runtime
failed_orb,qqq_2024h1,0,not_run,0,not_run,not_run_due_runtime_blocker
gap_acceptance_failure,qqq_2024h1,0,not_run,0,not_run,not_run_due_runtime_blocker
vwap_trend_pullback,qqq_2024h1,0,not_run,0,not_run,not_run_due_runtime_blocker
vwap_reclaim_reject,qqq_2024h1,0,not_run,0,not_run,not_run_due_runtime_blocker
prior_day_level_trap,qqq_2024h1,0,not_run,0,not_run,not_run_due_runtime_blocker
cci_extreme_snapback,qqq_2024h1,0,not_run,0,not_run,not_run_due_runtime_blocker
stochastic_oversold_cross,qqq_2024h1,0,not_run,0,not_run,not_run_due_runtime_blocker
pa_buy_sell_close_trend,qqq_2024h2,0,not_run,0,not_run,not_run_due_runtime_blocker
orb_continuation,qqq_2024h2,0,not_run,0,not_run,not_run_due_runtime_blocker
orb_retest_continuation,qqq_2024h2,0,not_run,0,not_run,not_run_due_runtime_blocker
failed_orb,qqq_2024h2,0,not_run,0,not_run,not_run_due_runtime_blocker
gap_acceptance_failure,qqq_2024h2,0,not_run,0,not_run,not_run_due_runtime_blocker
vwap_trend_pullback,qqq_2024h2,0,not_run,0,not_run,not_run_due_runtime_blocker
vwap_reclaim_reject,qqq_2024h2,0,not_run,0,not_run,not_run_due_runtime_blocker
prior_day_level_trap,qqq_2024h2,0,not_run,0,not_run,not_run_due_runtime_blocker
cci_extreme_snapback,qqq_2024h2,0,not_run,0,not_run,not_run_due_runtime_blocker
stochastic_oversold_cross,qqq_2024h2,0,not_run,0,not_run,not_run_due_runtime_blocker
