strategy,window,combo_id,feature_config,feature_hash,signal_hash,config_hash,params_json,notes
pa_buy_sell_close_trend,qqq_2024h1,combo_0001,configs/features/pa_core_v1.yaml,facb93387b6460a7f79bfd08a23b71560539d284f5ca2f0e1b565cb224a15498,5a9e7f48f58b3b4cc2d33ce5377e71cef52f20a22d048a4fce07a32236118021,96bda5e2bfc4755c32fc3f11a23bd5a8685827bde0663f9f367b8b1fa570ec66,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.0},""signal"":{""body_pct_min"":0.48,""require_vwap_side"":false}}",Audit hash row; not candidate identity.
pa_buy_sell_close_trend,qqq_2024h1,combo_0002,configs/features/pa_core_v1.yaml,facb93387b6460a7f79bfd08a23b71560539d284f5ca2f0e1b565cb224a15498,836a13212ffdda4482c830d7c04d7fca9724ad9255a034b4814fc36c0062cd35,0a68a5d737d35f84131ea52be911e9f29604c237dac171b3131d97e74e563f29,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.35},""signal"":{""body_pct_min"":0.48,""require_vwap_side"":false}}",Audit hash row; not candidate identity.
pa_buy_sell_close_trend,qqq_2024h1,combo_0003,configs/features/pa_core_v1.yaml,facb93387b6460a7f79bfd08a23b71560539d284f5ca2f0e1b565cb224a15498,a812a02c2a9b50fd8d0ffd90f64307a90a760269d4c1064a3b25d3c80bc05bef,3017da04cf9175eae83be35d78129e86cc8ebda562935c51daf552235215984d,"{""risk"":{""stop_mode"":""rolling_low"",""target_r"":1.0},""signal"":{""body_pct_min"":0.48,""require_vwap_side"":false}}",Audit hash row; not candidate identity.
pa_buy_sell_close_trend,qqq_2024h1,combo_0004,configs/features/pa_core_v1.yaml,facb93387b6460a7f79bfd08a23b71560539d284f5ca2f0e1b565cb224a15498,5de3bd7a2f0368bc8992fec16e4137d3e2d8d2083eaa1321ea6cf1c7c0d9beb2,dbdedbf094809d6c155d670fedf00bb3507250d5eed75d2a2a7494c920db99fb,"{""risk"":{""stop_mode"":""rolling_low"",""target_r"":1.35},""signal"":{""body_pct_min"":0.48,""require_vwap_side"":false}}",Audit hash row; not candidate identity.
pa_buy_sell_close_trend,qqq_2024h1,combo_0005,configs/features/pa_core_v1.yaml,facb93387b6460a7f79bfd08a23b71560539d284f5ca2f0e1b565cb224a15498,cec78825991875f5e606d75001fcc2d947d46e1b892205eed131d7fc852df5cb,b4490b2f9291f8fa32913568e8e3d9514a5538f451fa3594dbacb84606c4204b,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.0},""signal"":{""body_pct_min"":0.48,""require_vwap_side"":true}}",Audit hash row; not candidate identity.
pa_buy_sell_close_trend,qqq_2024h1,combo_0006,configs/features/pa_core_v1.yaml,facb93387b6460a7f79bfd08a23b71560539d284f5ca2f0e1b565cb224a15498,8cd6fb275b1572d3e83f5cd68c66f55fd8daf480b66524f538ef5d2f6fc7e9d3,983fb4d7d4bd63326d0980f5caee64dff1fb689852a632444380609c47436df4,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.35},""signal"":{""body_pct_min"":0.48,""require_vwap_side"":true}}",Audit hash row; not candidate identity.
pa_buy_sell_close_trend,qqq_2024h1,combo_0007,configs/features/pa_core_v1.yaml,facb93387b6460a7f79bfd08a23b71560539d284f5ca2f0e1b565cb224a15498,5729348680dddacb6faba879e8c645e1e2a600b94fb3b2a3a6f2454c05cfc170,dd7e724d36187e12b37e6c8b3e002e4a23fe1fd484a3c715440b02073db6b2e9,"{""risk"":{""stop_mode"":""rolling_low"",""target_r"":1.0},""signal"":{""body_pct_min"":0.48,""require_vwap_side"":true}}",Audit hash row; not candidate identity.
pa_buy_sell_close_trend,qqq_2024h1,combo_0008,configs/features/pa_core_v1.yaml,facb93387b6460a7f79bfd08a23b71560539d284f5ca2f0e1b565cb224a15498,c801a4973432ecccc90f9716ad370c3288ce16d6c706a6b62d1575ef20d15937,3cec39fec5473de2ade0b81eebd484ad443f92cf887d5cf4c7a9c84850979b27,"{""risk"":{""stop_mode"":""rolling_low"",""target_r"":1.35},""signal"":{""body_pct_min"":0.48,""require_vwap_side"":true}}",Audit hash row; not candidate identity.
pa_buy_sell_close_trend,qqq_2024h1,combo_0009,configs/features/pa_core_v1.yaml,facb93387b6460a7f79bfd08a23b71560539d284f5ca2f0e1b565cb224a15498,4328b59b37bbf7df2c46943bc1c3d995c4b4f278fa3c948e76a821b5bb95e05a,0e9fc783395f95bd1085c6d4ba2a7019d0c48a85654bfdc4d2f8b659a0d12cec,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.0},""signal"":{""body_pct_min"":0.56,""require_vwap_side"":false}}",Audit hash row; not candidate identity.
pa_buy_sell_close_trend,qqq_2024h1,combo_0010,configs/features/pa_core_v1.yaml,facb93387b6460a7f79bfd08a23b71560539d284f5ca2f0e1b565cb224a15498,0ded2c70d8ecd5d73659a313b6afb7c46a6c495ab44ba5a64716871e5c0bb6d7,1fb1350e6633f0c4d35163a2bf4be4b75f1f29d8e6c5d4f95f9e67911301687c,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.35},""signal"":{""body_pct_min"":0.56,""require_vwap_side"":false}}",Audit hash row; not candidate identity.
pa_buy_sell_close_trend,qqq_2024h1,combo_0011,configs/features/pa_core_v1.yaml,facb93387b6460a7f79bfd08a23b71560539d284f5ca2f0e1b565cb224a15498,0f9276624fb6948bdf044a3530014436b3b2be8f84c6dc166f8d6a3c49557525,4a95e1a64705fecb2f81bd1b0374eb15bfc3a8a821a59ca5605b404543e39b70,"{""risk"":{""stop_mode"":""rolling_low"",""target_r"":1.0},""signal"":{""body_pct_min"":0.56,""require_vwap_side"":false}}",Audit hash row; not candidate identity.
