run_id,combo_id,config_hash,params_json,signal_entries,valid_intents,executed_results,accepted_trades,rejected_trades,total_r,avg_r,median_r,win_rate,profit_factor_r,max_drawdown_r,avg_bars_held,exit_reason_counts_json,reject_reason_counts_json,skip_reason_counts_json,adapter_skip_reasons_json,feature_hash,signal_hash,execution_mode
L1_PHASE14_QQQ_2024H1_GAP_ACCEPTANCE_FAILURE_DIAGNOSTIC,combo_0003,e652d4c5149c48c81ad9c681e92b9f5c24309f7f37976c13f74f34db8725381e,"{""risk"":{""stop_mode"":""rolling_low_20"",""target_r"":1.0},""signal"":{""min_gap_pct"":0.004,""reclaim_mode"":""prior_close""}}",3,3,3,3,0,2.9731179289789122,0.9910393096596374,0.9906542056074851,1.0,inf,0.0,26.333333333333332,"{""TARGET"": 3}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},1a7b0d8745b1a92c6bc4f89fecbb361adb98f8128873c8f483936603bad8a411,706909da90bf69530e85a770c5db6c2f5d5abcca6612ec9de063cb7d0944c5ad,reference
L1_PHASE14_QQQ_2024H1_GAP_ACCEPTANCE_FAILURE_DIAGNOSTIC,combo_0004,6831c2e590ad3985954f125dffb28c6cb2086c31cfac83c82bbbc5e26168eb3c,"{""risk"":{""stop_mode"":""rolling_low_20"",""target_r"":1.2},""signal"":{""min_gap_pct"":0.004,""reclaim_mode"":""prior_close""}}",3,3,3,3,0,1.9098400625554337,0.6366133541851445,1.0682926829268795,0.6666666666666666,6.523050991714259,0.34579439252337085,48.666666666666664,"{""MAX_HOLD"": 2, ""TARGET"": 1}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},1a7b0d8745b1a92c6bc4f89fecbb361adb98f8128873c8f483936603bad8a411,dd55ba2057301191a22a11190d3ad9ac9e204dbec6a5bfb24ace9bb63c0f1ddf,reference
L1_PHASE14_QQQ_2024H1_GAP_ACCEPTANCE_FAILURE_DIAGNOSTIC,combo_0002,6c4c31cdabc4780194a5903b5ed624ec10f662268caca4f1dd07e2e0a8dd361f,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.2},""signal"":{""min_gap_pct"":0.004,""reclaim_mode"":""prior_close""}}",3,3,3,3,0,1.284868421052819,0.428289473684273,1.1473684210527386,0.6666666666666666,2.233473684210753,0.0,4.333333333333333,"{""STOP"": 1, ""TARGET"": 2}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},1a7b0d8745b1a92c6bc4f89fecbb361adb98f8128873c8f483936603bad8a411,9720e6846defeca4bfa7fabe4c66ad19100a79166aaa488b779e55d62afd6ede,reference
L1_PHASE14_QQQ_2024H1_GAP_ACCEPTANCE_FAILURE_DIAGNOSTIC,combo_0024,c291f91bc8c1bca27aeddd50e8c73df39544469a9877e794d0a1bc5342432caf,"{""risk"":{""stop_mode"":""rolling_low_20"",""target_r"":1.2},""signal"":{""min_gap_pct"":0.008,""reclaim_mode"":""vwap""}}",8,8,8,8,0,2.9197299340970293,0.36496624176212866,1.1848450057405504,0.625,1.9658658389152772,2.0147845062738545,20.25,"{""STOP"": 3, ""TARGET"": 5}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},1a7b0d8745b1a92c6bc4f89fecbb361adb98f8128873c8f483936603bad8a411,3ef49a9301ffb01e338aee634c09aded9b98ff2ff21cc1fa90d4f997beb6922f,reference
L1_PHASE14_QQQ_2024H1_GAP_ACCEPTANCE_FAILURE_DIAGNOSTIC,combo_0001,3e11fb5ccb53b076bf159d1fe264af7b48a4c3bda3e64a85a2b69142c619b43c,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.0},""signal"":{""min_gap_pct"":0.004,""reclaim_mode"":""prior_close""}}",3,3,3,3,0,0.8848684210527356,0.29495614035091183,0.9473684210526788,0.6666666666666666,1.8494736842106583,0.0,4.333333333333333,"{""STOP"": 1, ""TARGET"": 2}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},1a7b0d8745b1a92c6bc4f89fecbb361adb98f8128873c8f483936603bad8a411,cf91ed421f16e3f230ce4229b4051d92292a43e15927ea5963854e8d8aefbfa1,reference
L1_PHASE14_QQQ_2024H1_GAP_ACCEPTANCE_FAILURE_DIAGNOSTIC,combo_0023,5a810a0a492cc9c0029aadbf09462e5d6a50eb841257c4c5c6bd93b4de882e52,"{""risk"":{""stop_mode"":""rolling_low_20"",""target_r"":1.0},""signal"":{""min_gap_pct"":0.008,""reclaim_mode"":""vwap""}}",8,8,8,8,0,1.919729934096995,0.2399662417621244,0.9848450057405418,0.625,1.6350592709393186,2.0295371041309456,18.75,"{""STOP"": 3, ""TARGET"": 5}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},1a7b0d8745b1a92c6bc4f89fecbb361adb98f8128873c8f483936603bad8a411,d1d8acbe7a9b89d790af3f39a9fa3d63cf62117e70c4b0d9957aae32866d8775,reference
L1_PHASE14_QQQ_2024H1_GAP_ACCEPTANCE_FAILURE_DIAGNOSTIC,combo_0019,e86b52308db4656ae6c6314f3c20d8f4d51dd20108e74a6cbc171ba9858105db,"{""risk"":{""stop_mode"":""rolling_low_20"",""target_r"":1.0},""signal"":{""min_gap_pct"":0.006,""reclaim_mode"":""vwap""}}",12,12,12,12,0,2.4826628086045797,0.20688856738371497,0.9848450057405418,0.5833333333333334,1.5595046405934405,3.443874021693638,21.5,"{""MAX_HOLD"": 1, ""STOP"": 4, ""TARGET"": 7}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},1a7b0d8745b1a92c6bc4f89fecbb361adb98f8128873c8f483936603bad8a411,f508b57c0e9c22e7c87c52f02bfbb91d048a30a8d2a0a7479413be69a9cc37f7,reference
L1_PHASE14_QQQ_2024H1_GAP_ACCEPTANCE_FAILURE_DIAGNOSTIC,combo_0020,1cf87d69516da871a492aef5f206055d6c2e4df84cf742b826bb7aadc617eb9b,"{""risk"":{""stop_mode"":""rolling_low_20"",""target_r"":1.2},""signal"":{""min_gap_pct"":0.006,""reclaim_mode"":""vwap""}}",12,12,12,12,0,1.6826628086046138,0.14022190071705115,0.39069478908190325,0.5,1.3088165393165414,3.4291214238365475,23.583333333333332,"{""MAX_HOLD"": 1, ""STOP"": 5, ""TARGET"": 6}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},1a7b0d8745b1a92c6bc4f89fecbb361adb98f8128873c8f483936603bad8a411,2dbdfc5dca491cd869232dd23aac36bd17651c685c156f51c2e9b71612d9c981,reference
L1_PHASE14_QQQ_2024H1_GAP_ACCEPTANCE_FAILURE_DIAGNOSTIC,combo_0015,863134f04050bf6f0e6636d8fa1b3685a9c8e57b9b8ca2737e8d4a9ab255dff5,"{""risk"":{""stop_mode"":""rolling_low_20"",""target_r"":1.0},""signal"":{""min_gap_pct"":0.004,""reclaim_mode"":""vwap""}}",21,21,21,21,0,2.2099487470844887,0.1052356546230709,0.4594594594594456,0.5714285714285714,1.2606065141830052,6.145161346427063,26.095238095238095,"{""MAX_HOLD"": 3, ""STOP"": 8, ""TARGET"": 10}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},1a7b0d8745b1a92c6bc4f89fecbb361adb98f8128873c8f483936603bad8a411,3ce7302ee11031ecc031f1b87920d9e8e81d332d31d443ff958a2ffa8401f969,reference
L1_PHASE14_QQQ_2024H1_GAP_ACCEPTANCE_FAILURE_DIAGNOSTIC,combo_0016,e5af82bee266f8030637d0705ffddd7c80189411e1c14509e0400f8f9d313be2,"{""risk"":{""stop_mode"":""rolling_low_20"",""target_r"":1.2},""signal"":{""min_gap_pct"":0.004,""reclaim_mode"":""vwap""}}",21,21,21,21,0,2.009948747084555,0.09571184509926453,0.35398230088498733,0.5238095238095238,1.2117626812838815,5.924969038734758,27.476190476190474,"{""MAX_HOLD"": 3, ""STOP"": 9, ""TARGET"": 9}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},1a7b0d8745b1a92c6bc4f89fecbb361adb98f8128873c8f483936603bad8a411,c7c4e16ed2289a372f4565ab5163a25c653b0c13cb1a6d8d323d5415fcfa9085,reference
