run_id,combo_id,config_hash,params_json,signal_entries,valid_intents,executed_results,accepted_trades,rejected_trades,total_r,avg_r,median_r,win_rate,profit_factor_r,max_drawdown_r,avg_bars_held,exit_reason_counts_json,reject_reason_counts_json,skip_reason_counts_json,adapter_skip_reasons_json,feature_hash,signal_hash,execution_mode
L1_PHASE14_QQQ_2024H1_PRIOR_DAY_LEVEL_TRAP_DIAGNOSTIC,combo_0004,2e7ca86a22d19bb92ff1a337456b3dfc5fb5e9bb498db75ec93097fa8486658c,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.0},""signal"":{""breach_buffer_atr"":0.2,""require_close_above_vwap"":true}}",15,15,15,15,0,2.431069496002005,0.162071299733467,0.9523809523809911,0.6,1.388303011623527,4.2851168802507225,6.933333333333334,"{""STOP"": 6, ""TARGET"": 9}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},1a7b0d8745b1a92c6bc4f89fecbb361adb98f8128873c8f483936603bad8a411,c667bcfe3be79e12fb33c6aefda061eff53dab4c2777bd2bd0bf4ded6c27061d,reference
L1_PHASE14_QQQ_2024H1_PRIOR_DAY_LEVEL_TRAP_DIAGNOSTIC,combo_0008,ba4b681b3dd9201116dd4da172400691eba075e64c27064c76d25902a6f20758,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.2},""signal"":{""breach_buffer_atr"":0.2,""require_close_above_vwap"":true}}",15,15,15,15,0,2.0310694960018414,0.13540463306678943,1.1090909090908998,0.5333333333333333,1.2780674986412919,4.126386721520673,13.0,"{""STOP"": 7, ""TARGET"": 8}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},1a7b0d8745b1a92c6bc4f89fecbb361adb98f8128873c8f483936603bad8a411,418f1eb9dd245b48d273b38bcfc05d86b4aa14d0abf78d33a7fdf603bd4157a9,reference
L1_PHASE14_QQQ_2024H1_PRIOR_DAY_LEVEL_TRAP_DIAGNOSTIC,combo_0007,1d10119f4e9febbdd9e50acc3d6e068a4df71620482cdf54d8e5609ddb35f5ca,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.2},""signal"":{""breach_buffer_atr"":0.2,""require_close_above_vwap"":false}}",32,32,32,32,0,4.090900490013346,0.12784064031291706,1.1090909090908998,0.53125,1.2609519170634833,2.6125523492767244,7.15625,"{""STOP"": 15, ""TARGET"": 17}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},1a7b0d8745b1a92c6bc4f89fecbb361adb98f8128873c8f483936603bad8a411,d731334023a9017adafe255bb6ef4f353157674002d93c9fd70dec38a38a2170,reference
L1_PHASE14_QQQ_2024H1_PRIOR_DAY_LEVEL_TRAP_DIAGNOSTIC,combo_0003,46841e750c0ba17784cdc6eb4a094582f438fb906f7124e2a0e72743f1398491,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.0},""signal"":{""breach_buffer_atr"":0.2,""require_close_above_vwap"":false}}",32,32,32,32,0,2.690900490013585,0.08409064031292453,0.9232954545455238,0.5625,1.183888105517031,3.8662135902333956,4.3125,"{""STOP"": 14, ""TARGET"": 18}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},1a7b0d8745b1a92c6bc4f89fecbb361adb98f8128873c8f483936603bad8a411,75ffa092ab7794232aa58af265a13cb067e8f0b88094bfe33674256c8661b977,reference
L1_PHASE14_QQQ_2024H1_PRIOR_DAY_LEVEL_TRAP_DIAGNOSTIC,combo_0001,f1ad6923aabaa4c0dc2f9dcc65c2b32b6c61ccc329e3170e7a354d9520e59e89,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.0},""signal"":{""breach_buffer_atr"":0.1,""require_close_above_vwap"":false}}",37,37,37,37,0,1.3252246803410919,0.03581688325246194,0.9333333333333839,0.5405405405405406,1.0740263615871002,7.9888611264626155,3.918918918918919,"{""STOP"": 17, ""TARGET"": 20}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},1a7b0d8745b1a92c6bc4f89fecbb361adb98f8128873c8f483936603bad8a411,3ec1dbf56e05af24689713712f9f251b7a28f3dff9241b3912a78d309f248088,reference
L1_PHASE14_QQQ_2024H1_PRIOR_DAY_LEVEL_TRAP_DIAGNOSTIC,combo_0015,974ace991fa218db8eabdb8531413eb6fc71c0998cee560e71ed171c669519ef,"{""risk"":{""stop_mode"":""prior_low_buffer"",""target_r"":1.2},""signal"":{""breach_buffer_atr"":0.2,""require_close_above_vwap"":false}}",32,32,32,31,1,-0.8115546954324206,-0.026179183723626473,-1.018594272963912,0.4838709677419355,0.9534646788231873,3.483937659270549,2.838709677419355,"{""STOP"": 16, ""TARGET"": 15}","{""RISK_TOO_SMALL"": 1}","{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 1, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},1a7b0d8745b1a92c6bc4f89fecbb361adb98f8128873c8f483936603bad8a411,2b8e112aade567a8b2ddf1799500ea1876e96141bae0c233430c04e0ab331e25,reference
L1_PHASE14_QQQ_2024H1_PRIOR_DAY_LEVEL_TRAP_DIAGNOSTIC,combo_0005,4894ff4787db8d422e3060e5cbcdc02ff2e5e2062e8d1533f13e525e6753dbf2,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.2},""signal"":{""breach_buffer_atr"":0.1,""require_close_above_vwap"":false}}",37,37,37,37,0,-1.274775319659239,-0.03445338701781727,-1.0232558139534669,0.4594594594594595,0.9394469573376106,8.89900605399901,5.54054054054054,"{""STOP"": 20, ""TARGET"": 17}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},1a7b0d8745b1a92c6bc4f89fecbb361adb98f8128873c8f483936603bad8a411,ded4ac3b768c0eb0df3aaa9d5066c06015153dba3f2f39c39d70b66a90c6498c,reference
L1_PHASE14_QQQ_2024H1_PRIOR_DAY_LEVEL_TRAP_DIAGNOSTIC,combo_0013,1cb2add683e67e58fb37fa0c8f85686642ccb5caebd58396829e2923ba168433,"{""risk"":{""stop_mode"":""prior_low_buffer"",""target_r"":1.2},""signal"":{""breach_buffer_atr"":0.1,""require_close_above_vwap"":false}}",37,37,37,36,1,-1.4089682404960326,-0.03913800668044535,-1.0195491933662635,0.4722222222222222,0.9313255524407253,5.323532234409111,2.9444444444444446,"{""STOP"": 19, ""TARGET"": 17}","{""RISK_TOO_SMALL"": 1}","{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 1, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},1a7b0d8745b1a92c6bc4f89fecbb361adb98f8128873c8f483936603bad8a411,8236afcae3e7c01ecd6076a814bf41f1a26d3a97bf5679c34ccb519278c3505c,reference
L1_PHASE14_QQQ_2024H1_PRIOR_DAY_LEVEL_TRAP_DIAGNOSTIC,combo_0016,c86269fd2614fc2dcfbf216c016243a0fde2021360b0f94903be6311b64c3af1,"{""risk"":{""stop_mode"":""prior_low_buffer"",""target_r"":1.2},""signal"":{""breach_buffer_atr"":0.2,""require_close_above_vwap"":true}}",15,15,15,15,0,-0.9407133993952714,-0.06271422662635143,-1.018594272963912,0.4666666666666667,0.8899676614969204,3.261647286769167,3.1333333333333333,"{""STOP"": 8, ""TARGET"": 7}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},1a7b0d8745b1a92c6bc4f89fecbb361adb98f8128873c8f483936603bad8a411,088c8b2af3a21147829d64c8e31fe90748bbd28283cfefce6cb1d89a8d87b83e,reference
L1_PHASE14_QQQ_2024H1_PRIOR_DAY_LEVEL_TRAP_DIAGNOSTIC,combo_0009,c26fb26eef8e1bd9933cd9f077bbc96404b1f2fea83aa07e7cca8d13a5914283,"{""risk"":{""stop_mode"":""prior_low_buffer"",""target_r"":1.0},""signal"":{""breach_buffer_atr"":0.1,""require_close_above_vwap"":false}}",37,37,37,36,1,-2.808968240496964,-0.0780268955693601,-0.14737101841993444,0.5,0.8554889091987314,6.181986761226749,2.3333333333333335,"{""STOP"": 18, ""TARGET"": 18}","{""RISK_TOO_SMALL"": 1}","{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 1, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},1a7b0d8745b1a92c6bc4f89fecbb361adb98f8128873c8f483936603bad8a411,bddc779c868caf8572c809a3dcb2467713d04dcc6323f01933e948be8c773fdd,reference
