run_id,combo_id,config_hash,params_json,signal_entries,valid_intents,executed_results,accepted_trades,rejected_trades,total_r,avg_r,median_r,win_rate,profit_factor_r,max_drawdown_r,avg_bars_held,exit_reason_counts_json,reject_reason_counts_json,skip_reason_counts_json,adapter_skip_reasons_json,feature_hash,signal_hash,execution_mode
L1_PHASE14_QQQ_2024H1_VWAP_TREND_PULLBACK_DIAGNOSTIC,combo_0004,e6ebae20cec846d9484f1c3268706aadc629a6d5780147d80a4da561570c75df,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.0},""signal"":{""close_position_min"":0.6,""max_pullback_atr"":0.4}}",113,113,113,113,0,9.624089653245676,0.085168934984475,0.9166666666667456,0.5663716814159292,1.1873789468337883,4.448601879189707,3.84070796460177,"{""STOP"": 49, ""TARGET"": 64}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},b1a91e6d6cde73865fbe51d930cda05f538375187db6a24a8299e2b8411e1b75,c444e16ac91b368677ce49ba606c6683b8fdf7d116541588bdb7a7719418c9e7,reference
L1_PHASE14_QQQ_2024H1_VWAP_TREND_PULLBACK_DIAGNOSTIC,combo_0002,ec1f538c881e55464cccfc9827dc2644e9c4e3e16a0c9dbc634b236788191c16,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.0},""signal"":{""close_position_min"":0.6,""max_pullback_atr"":0.3}}",113,113,113,113,0,7.767725861150233,0.06874093682433835,0.9166666666667456,0.5575221238938053,1.1483434980673726,5.80479412399704,4.185840707964601,"{""STOP"": 50, ""TARGET"": 63}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},b1a91e6d6cde73865fbe51d930cda05f538375187db6a24a8299e2b8411e1b75,646a776bb5972e146bf69dab389b6ff6fba1aefc60e69639327501b84cc891f9,reference
L1_PHASE14_QQQ_2024H1_VWAP_TREND_PULLBACK_DIAGNOSTIC,combo_0006,82542975c968cdf0fa7abb098f80c11a897907368263968fc41648f6278b4ea9,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.2},""signal"":{""close_position_min"":0.6,""max_pullback_atr"":0.3}}",113,113,113,113,0,4.967725861150809,0.04396217576239654,-1.0123456790123344,0.49557522123893805,1.0832145848392647,8.158535984464558,4.902654867256637,"{""STOP"": 57, ""TARGET"": 56}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},b1a91e6d6cde73865fbe51d930cda05f538375187db6a24a8299e2b8411e1b75,34a4e48e77bd5076f32c0ae5b7f4812ebc9c787a62b367fa59889d294e09484c,reference
L1_PHASE14_QQQ_2024H1_VWAP_TREND_PULLBACK_DIAGNOSTIC,combo_0008,fcd9c12f4f0fbba18c0cf3e9c0a44cd31470af387f5ed4688aab6ab55bae0104,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.2},""signal"":{""close_position_min"":0.6,""max_pullback_atr"":0.4}}",113,113,113,113,0,4.824089653246179,0.04269105887828477,-1.0123456790123344,0.49557522123893805,1.0807516981954022,6.1698981754860736,4.539823008849558,"{""STOP"": 57, ""TARGET"": 56}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},b1a91e6d6cde73865fbe51d930cda05f538375187db6a24a8299e2b8411e1b75,427f8c80eeb5f3b17e9b501d86c78bad081c883f877ee0ef673cd2ef7afbaa41,reference
L1_PHASE14_QQQ_2024H1_VWAP_TREND_PULLBACK_DIAGNOSTIC,combo_0001,c5cced596928a09d69c26b91338af8fe03d97b570787027e691c18a7cd5f9bae,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.0},""signal"":{""close_position_min"":0.5,""max_pullback_atr"":0.3}}",114,114,114,114,0,-1.5908927778946014,-0.013955199806092994,0.909090909090956,0.5175438596491229,0.9724937204619076,10.101111485128872,3.9210526315789473,"{""STOP"": 55, ""TARGET"": 59}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},b1a91e6d6cde73865fbe51d930cda05f538375187db6a24a8299e2b8411e1b75,a977b6ed00447026228a5bda76af13c06fe5005c45ac4ab50e9b6e5bddf31732,reference
L1_PHASE14_QQQ_2024H1_VWAP_TREND_PULLBACK_DIAGNOSTIC,combo_0016,beb1680c592e8a978e735df48f2a3119dc382cddaf9228b5f2f7b1945ab4ff20,"{""risk"":{""stop_mode"":""vwap_atr_buffer"",""target_r"":1.2},""signal"":{""close_position_min"":0.6,""max_pullback_atr"":0.4}}",113,113,113,113,0,-4.603230980160695,-0.04073655734655482,-1.0161530061240611,0.45132743362831856,0.9281890691917153,9.756298526464967,6.053097345132743,"{""STOP"": 62, ""TARGET"": 51}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},b1a91e6d6cde73865fbe51d930cda05f538375187db6a24a8299e2b8411e1b75,f1b98e6090356865f204d9ffc7f420c4e2f3b1d3fc7d930d705a473c33b3de7b,reference
L1_PHASE14_QQQ_2024H1_VWAP_TREND_PULLBACK_DIAGNOSTIC,combo_0005,1dc89484707c0390f3949ae3bd179e008f95fc371cec1e40c2b2efd0a82bbe7e,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.2},""signal"":{""close_position_min"":0.5,""max_pullback_atr"":0.3}}",114,114,114,114,0,-5.190892777894113,-0.045534147174509765,-1.0198039215686097,0.45614035087719296,0.9203510156311067,15.50111148512875,4.587719298245614,"{""STOP"": 62, ""TARGET"": 52}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},b1a91e6d6cde73865fbe51d930cda05f538375187db6a24a8299e2b8411e1b75,e2637e2b088fda1f9a31fc941f70bef9ae548cd33a8ce10e503dece4cfade010,reference
L1_PHASE14_QQQ_2024H1_VWAP_TREND_PULLBACK_DIAGNOSTIC,combo_0015,af9a38acd964a15533be259366c6e98f6111b2f545399720091151139f8ee61b,"{""risk"":{""stop_mode"":""vwap_atr_buffer"",""target_r"":1.2},""signal"":{""close_position_min"":0.5,""max_pullback_atr"":0.4}}",115,115,115,115,0,-6.739177315080355,-0.05860154187026396,-1.0161530061240611,0.4434782608695652,0.8981207885089038,11.654156506834335,5.878260869565217,"{""STOP"": 64, ""TARGET"": 51}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},b1a91e6d6cde73865fbe51d930cda05f538375187db6a24a8299e2b8411e1b75,4c1a8e64ddd1e778dc45009a75836a19574f0827631af51d726fe9b07f5fa0bd,reference
L1_PHASE14_QQQ_2024H1_VWAP_TREND_PULLBACK_DIAGNOSTIC,combo_0003,18ee7e464807cdae2709a8d6be1333b744b57671ddd3c7e9fcddb879d8b72664,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.0},""signal"":{""close_position_min"":0.5,""max_pullback_atr"":0.4}}",115,115,115,115,0,-6.858413633037144,-0.0596383794177143,-1.0123456790123344,0.4956521739130435,0.8879294837185154,12.13421892155494,3.626086956521739,"{""STOP"": 58, ""TARGET"": 57}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},b1a91e6d6cde73865fbe51d930cda05f538375187db6a24a8299e2b8411e1b75,a3944f7d8bb8d921e621754f38bfee935678badb12c1d396cadc24fb8e75db98,reference
L1_PHASE14_QQQ_2024H1_VWAP_TREND_PULLBACK_DIAGNOSTIC,combo_0012,ff4b198825f3ba68d9783788a8088f6d64adfb8608bba39850bcab5999c29f66,"{""risk"":{""stop_mode"":""vwap_atr_buffer"",""target_r"":1.0},""signal"":{""close_position_min"":0.6,""max_pullback_atr"":0.4}}",113,113,113,113,0,-8.803230980160631,-0.0779046989394746,-1.0145350943455334,0.4778761061946903,0.8557499226888867,12.518210171914735,5.0,"{""STOP"": 59, ""TARGET"": 54}",{},"{""execution_rejected_excluded"": 0, ""execution_rejected_included"": 0, ""invalid_signal"": 0, ""max_trades_per_session"": 0, ""trade_open"": 0}",{},b1a91e6d6cde73865fbe51d930cda05f538375187db6a24a8299e2b8411e1b75,cd8aff2e563df1446f577599ac86bbbfcd320164fd680cd5aad5b203f517c1ee,reference
