combo_id,config_hash,params_json,signal_hash
combo_0001,f1ad6923aabaa4c0dc2f9dcc65c2b32b6c61ccc329e3170e7a354d9520e59e89,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.0},""signal"":{""breach_buffer_atr"":0.1,""require_close_above_vwap"":false}}",3ec1dbf56e05af24689713712f9f251b7a28f3dff9241b3912a78d309f248088
combo_0002,54385618fc57ca4937582e675e312a15430ed5c39ca2d1cbc1bf4def586938df,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.0},""signal"":{""breach_buffer_atr"":0.1,""require_close_above_vwap"":true}}",adc055d652099d0d0ffc7c0ac4204c6603256bde4d7974827fe3c8b30921ae39
combo_0003,46841e750c0ba17784cdc6eb4a094582f438fb906f7124e2a0e72743f1398491,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.0},""signal"":{""breach_buffer_atr"":0.2,""require_close_above_vwap"":false}}",75ffa092ab7794232aa58af265a13cb067e8f0b88094bfe33674256c8661b977
combo_0004,2e7ca86a22d19bb92ff1a337456b3dfc5fb5e9bb498db75ec93097fa8486658c,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.0},""signal"":{""breach_buffer_atr"":0.2,""require_close_above_vwap"":true}}",c667bcfe3be79e12fb33c6aefda061eff53dab4c2777bd2bd0bf4ded6c27061d
combo_0005,4894ff4787db8d422e3060e5cbcdc02ff2e5e2062e8d1533f13e525e6753dbf2,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.2},""signal"":{""breach_buffer_atr"":0.1,""require_close_above_vwap"":false}}",ded4ac3b768c0eb0df3aaa9d5066c06015153dba3f2f39c39d70b66a90c6498c
combo_0006,498a10d2163bebdc6740a694ccf2c016104bac08e03c106bb2528945bddddc39,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.2},""signal"":{""breach_buffer_atr"":0.1,""require_close_above_vwap"":true}}",ec0934b6c7b3bbbd15b79b81fea9a90d101a4dc8b79af3fcf4a14e7f90a9cd9b
combo_0007,1d10119f4e9febbdd9e50acc3d6e068a4df71620482cdf54d8e5609ddb35f5ca,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.2},""signal"":{""breach_buffer_atr"":0.2,""require_close_above_vwap"":false}}",d731334023a9017adafe255bb6ef4f353157674002d93c9fd70dec38a38a2170
combo_0008,ba4b681b3dd9201116dd4da172400691eba075e64c27064c76d25902a6f20758,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.2},""signal"":{""breach_buffer_atr"":0.2,""require_close_above_vwap"":true}}",418f1eb9dd245b48d273b38bcfc05d86b4aa14d0abf78d33a7fdf603bd4157a9
combo_0009,c26fb26eef8e1bd9933cd9f077bbc96404b1f2fea83aa07e7cca8d13a5914283,"{""risk"":{""stop_mode"":""prior_low_buffer"",""target_r"":1.0},""signal"":{""breach_buffer_atr"":0.1,""require_close_above_vwap"":false}}",bddc779c868caf8572c809a3dcb2467713d04dcc6323f01933e948be8c773fdd
combo_0010,2775981021b4883bc61f3f95cae982c14732899cf5bd95027cc2e67d19a4e47c,"{""risk"":{""stop_mode"":""prior_low_buffer"",""target_r"":1.0},""signal"":{""breach_buffer_atr"":0.1,""require_close_above_vwap"":true}}",8135b0a1080d5e858f043befb1d628a62faf562a859db6c09041737bd08c63f9
combo_0011,e8946464ec933e2659a24b6ea74a6a0a6b93f18cc34fee2a6828a9ce9045a8d7,"{""risk"":{""stop_mode"":""prior_low_buffer"",""target_r"":1.0},""signal"":{""breach_buffer_atr"":0.2,""require_close_above_vwap"":false}}",97d695b1252ed67ee96dc5d264d2e7fc4a6531a25acb4e43e3b5b2f47e32ad55
combo_0012,4cdab8bf7b7659fd5233dace556bed0b472e9c40aeb14a691ac72271fd0a0da2,"{""risk"":{""stop_mode"":""prior_low_buffer"",""target_r"":1.0},""signal"":{""breach_buffer_atr"":0.2,""require_close_above_vwap"":true}}",48732618f3f9539f796ba0661ce5cdbe603cb89e23c17136b6782a45432dce42
combo_0013,1cb2add683e67e58fb37fa0c8f85686642ccb5caebd58396829e2923ba168433,"{""risk"":{""stop_mode"":""prior_low_buffer"",""target_r"":1.2},""signal"":{""breach_buffer_atr"":0.1,""require_close_above_vwap"":false}}",8236afcae3e7c01ecd6076a814bf41f1a26d3a97bf5679c34ccb519278c3505c
