combo_id,config_hash,params_json
combo_0001,4c658cbf825b8f3e50e0b11b81633c523c38d3002832bb73ba8ae24f2e6ed524,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.0},""signal"":{""close_position_min"":0.45,""require_vwap_touch"":false}}"
combo_0002,bc7b1dbd8810d106c70352a82ab67bd870a4b2d0c5d5d88c6735ff8771c9eaf6,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.0},""signal"":{""close_position_min"":0.55,""require_vwap_touch"":false}}"
combo_0003,c656a06800645a6d34adbfff13c03a515e1feedf946ae7eab09347298273efb2,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.0},""signal"":{""close_position_min"":0.45,""require_vwap_touch"":true}}"
combo_0004,c4f2c62464123d280b1eaf08f86d683242a1fc74e3e950626d69960af454ccf1,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.0},""signal"":{""close_position_min"":0.55,""require_vwap_touch"":true}}"
combo_0005,e742405d485fce1beb164a1e3a27ae8c2e096efb776fe3bdea2d4281e60fb71c,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.2},""signal"":{""close_position_min"":0.45,""require_vwap_touch"":false}}"
combo_0006,8cc1c8809cda7641342c3091cad891dac5a57c29435027ba3435fcd9958c5bb6,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.2},""signal"":{""close_position_min"":0.55,""require_vwap_touch"":false}}"
combo_0007,a8c219df5dacc5e09de0c818e1ddb2e5e1b26ceda316a1d1875d6c2d62ff6faf,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.2},""signal"":{""close_position_min"":0.45,""require_vwap_touch"":true}}"
combo_0008,60beafda5d0f6cba732a523c067243d8cd4858ee2b2a0e8db97795f5b33f6195,"{""risk"":{""stop_mode"":""signal_low"",""target_r"":1.2},""signal"":{""close_position_min"":0.55,""require_vwap_touch"":true}}"
combo_0009,bd317ba0b93d3bc9b2a7a6eda8d6f2f286c3dbce67dcf844e1f2100978ccee63,"{""risk"":{""stop_mode"":""vwap_atr_buffer"",""target_r"":1.0},""signal"":{""close_position_min"":0.45,""require_vwap_touch"":false}}"
combo_0010,25aa786bd5902b48d4e43148a9e3729c69885bdba25a237659e8cb6912441743,"{""risk"":{""stop_mode"":""vwap_atr_buffer"",""target_r"":1.0},""signal"":{""close_position_min"":0.55,""require_vwap_touch"":false}}"
combo_0011,b14a9c6d06d564820ac96fcec41b7b6f5efa08eccff44d0976b3642f7e49ed5a,"{""risk"":{""stop_mode"":""vwap_atr_buffer"",""target_r"":1.0},""signal"":{""close_position_min"":0.45,""require_vwap_touch"":true}}"
combo_0012,1abb5577df10e6e6883ebfbd3032d969b22fdb8f56cad7543091f062c1d1cf97,"{""risk"":{""stop_mode"":""vwap_atr_buffer"",""target_r"":1.0},""signal"":{""close_position_min"":0.55,""require_vwap_touch"":true}}"
combo_0013,240182451469bb6559ef38110f99cab5eb76eeebf77b9cbc2699757d2624384c,"{""risk"":{""stop_mode"":""vwap_atr_buffer"",""target_r"":1.2},""signal"":{""close_position_min"":0.45,""require_vwap_touch"":false}}"
combo_0014,b7f95e127946ef0149b7cb706ffdec91b5996213a253f04c7ead15d82d109829,"{""risk"":{""stop_mode"":""vwap_atr_buffer"",""target_r"":1.2},""signal"":{""close_position_min"":0.55,""require_vwap_touch"":false}}"
combo_0015,8bcd1f3416067fb2ea72482c88b704c19766d06cb8bb99a6feba1fba5970db0b,"{""risk"":{""stop_mode"":""vwap_atr_buffer"",""target_r"":1.2},""signal"":{""close_position_min"":0.45,""require_vwap_touch"":true}}"
combo_0016,0769a274e4d73027223392560e521b363a376ff8f04d03889c90b4c4695d7d92,"{""risk"":{""stop_mode"":""vwap_atr_buffer"",""target_r"":1.2},""signal"":{""close_position_min"":0.55,""require_vwap_touch"":true}}"
combo_0017,cb682deffdf2779b0a1b0ee53da39627cb1c7b5a80638845010c4e489b92129e,"{""risk"":{""stop_mode"":""atr_buffer"",""target_r"":1.0},""signal"":{""close_position_min"":0.45,""require_vwap_touch"":false}}"
combo_0018,64924629e930c849286cdb39f2f4b76f59d8692bbc8690525b893d2d6608316e,"{""risk"":{""stop_mode"":""atr_buffer"",""target_r"":1.0},""signal"":{""close_position_min"":0.55,""require_vwap_touch"":false}}"
combo_0019,baf955f90d4373582a6759fc9ef0639aeca3781edceec1a583d5650b63c7ba5e,"{""risk"":{""stop_mode"":""atr_buffer"",""target_r"":1.0},""signal"":{""close_position_min"":0.45,""require_vwap_touch"":true}}"
combo_0020,b41b8b8e5bd866c6db34992074e09bf6ea9633f0f9fbf3f6f26ed4d18859ebb8,"{""risk"":{""stop_mode"":""atr_buffer"",""target_r"":1.0},""signal"":{""close_position_min"":0.55,""require_vwap_touch"":true}}"
combo_0021,2fbda5088fa7dee66f43b6a58204de8a07f253d82ea62e6b2ea5ebd844dc66de,"{""risk"":{""stop_mode"":""atr_buffer"",""target_r"":1.2},""signal"":{""close_position_min"":0.45,""require_vwap_touch"":false}}"
combo_0022,5a4e132d761d19ae6a9bc0e0d8ab30dc0cd26c5346767cabd7e800abb57cf29d,"{""risk"":{""stop_mode"":""atr_buffer"",""target_r"":1.2},""signal"":{""close_position_min"":0.55,""require_vwap_touch"":false}}"
combo_0023,2ca9b3ba34e016f7f941bb11cd8b8e59284d12835a516572485507fedbeecb46,"{""risk"":{""stop_mode"":""atr_buffer"",""target_r"":1.2},""signal"":{""close_position_min"":0.45,""require_vwap_touch"":true}}"
combo_0024,77010a7d3a1f07819d9f9fb90b6bdb9d2e42b072fa42d253d2506c46edd7bae5,"{""risk"":{""stop_mode"":""atr_buffer"",""target_r"":1.2},""signal"":{""close_position_min"":0.55,""require_vwap_touch"":true}}"
